Station Name,Latitude,Longitude,Free Bikes,Empty Slots
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,3,8
11 - Amaralina,-13.0123191,-38.4683242,11,11
20 - Metrô Lapa,-12.98105,-38.51203,4,5
28 - Largo da Vitória,-12.9962456,-38.5276476,0,14
39 - Itapuã,-12.950197,-38.365623,2,17
16 - Parque dos Ventos,-12.979908,-38.429564,3,10
52 - Campo Grande II,-12.98827,-38.52219,7,3
55 - Sabino Silva Oceânica,-13.00771,-38.51621,8,2
25 - Paseo Itaigara,-12.995761,-38.470894,3,8
42 - Centenário 2,-13.00303,-38.52159,3,6
14 - Pedra da Sereia,-13.010995,-38.501335,13,3
62- Praça Castro Alves,-12.97748,-38.51457,7,3
18 - Orla Pituba,-13.01063,-38.46546,4,12
13 - Largo da Piedade,-12.982846,-38.514973,0,13
9 - Praça Carlos Batalha,-13.010333,-38.489844,9,2
59 - BRT Itaigara,-12.99722,-38.46358,7,12
34 - Boca do Rio,-12.9751658664247,-38.4179118566989,1,14
33 - Jardim de Alah,-12.994033,-38.440247,9,13
36 - Patamares,-12.96269,-38.40028,5,9
50 - Praça Stella Maris,-12.93884,-38.3399,1,10
38 - Piatã,-12.95344,-38.3794,2,12
21 - Campo Grande ,-12.9892675507067,-38.5203692376571,13,10
45 - Jardim dos Namorados,-13.002672,-38.451655,11,11
61 - Salvador Shopping,-12.97935,-38.45504,9,7
15 - Praça do Fórum Ruy Barbosa,-12.979067,-38.50799,1,13
24 - Barravento,-13.00933642494404,-38.52573526924134,0,7
31 - Fonte do Boi,-13.013748,-38.485803,13,0
19 - Parquinho Jardim de Alah,-12.99751,-38.44347,12,8
32 - Hotel Bahia do Sol,-12.99091,-38.524892,2,4
56 - Anita Garibaldi,-12.99972,-38.50576,10,0
5 - R. Prof. Sabino Silva,-13.00502,-38.517932,9,5
49 - Stella Maris,-12.93645,-38.32701,4,5
35 - Centro de Convenções,-12.98625,-38.43404,10,9
22 - Largo da Graça,-12.999232,-38.523744,0,8
1 - Parque Costa Azul,-12.997972,-38.448405,1,10
43 - Praça Clériston Andrade,-13.00202,-38.50382,9,2
46 - UFBA Ondina Portão Principal,-13.00596,-38.50914,12,1
41 - Praça Lord Cochrane,-12.993181,-38.507897,15,1
48 - Magalhães Neto,-12.990164,-38.450229,5,5
8 - Quadras do Rio Vermelho,-13.01114,-38.4938,12,1
37 - Jaguaribe,-12.959253,-38.393242,2,11
40 - Pituba Manoel Dias,-13.00722,-38.46204,5,6
23 - Nossa Senhora da Luz,-13.005963,-38.457312,10,4
26 - Praça Aquarius,-12.986925,-38.452353,4,7
4 - Praça Orungan ,-13.0080581743818,-38.5184592338841,6,2
12 - Praça Marconi,-13.002792,-38.455332,2,15
17 - Pituaçu,-12.95176,-38.37358,1,10
30 - Centenário ,-13.0059576475167,-38.5232551573405,1,12
3 - Boca do Rio II,-12.977901,-38.424115,1,14
47 - Barris (Praça João Mangabeira),-12.988084,-38.511655,10,1
7 - UFBA Portão 01,-13.002495,-38.507178,16,2
44 - Quartel de Amaralina,-13.013483,-38.478097,17,1
60 - Armação,-12.98978,-38.43678,5,6
57 - Pituba - Praça Belo Horizonte,-13.00398,-38.45906,6,4
51 - Jardim dos namorados II,-13.00096,-38.44964,3,14
2 - Porto da Barra,-13.00331,-38.532697,14,13
10 - Largo da Mariquita,-13.013335,-38.488729,21,1
58 - BRT Pituba,-12.99984,-38.45952,2,11
29 - Praça do Sol,-13.010308,-38.509888,8,4
